"LOCATION_OFFICE","COMPANY_CD","COMPANY_NAME","COMPANY_TYPE","BRAND_NAME","PART_NO","PART_DESCRIPTION","GOOD_STOCK","DEFECTIVE_STOCK","ENGG_GOOD_STOCK","ENGG_DEFECTIVE_STOCK","TOTAL_GOOD_STOCK","TOTAL_DEFECTIVE_STOCK","CUSTOMER_CODE","DIVISION_NAME",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CW5002B022'","MAIN MOTOR,CW5002B","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","AT602PM006'","MAIN MOTOR-AT602PM006","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","30101000740'","MOTOR - 15"" HD EXHAUST (GREY-NEW)","0","0","0","1","0","1","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CT5501H050'","MOTOR - 26L, 40L, 55L","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25184990011'","MOTOR - DESK 25 WITH 16 SLOT STATOR","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25184990012'","MOTOR - DESK 25 WITH 8 SLOT STATOR","0","0","0","1","0","1","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25184990018'","MOTOR - ROTO 53","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25184990017'","MOTOR - WALL 44 WITH 8 SLOT","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25184990025'","MOTOR ASLY W/OGBOX-ALC-27CL-37DC-KOL-D25","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25184990026'","MOTOR ASLY W/OGBOX-ALC-27CL-37DC-KOL-W44","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","26106098148'","MOTOR BOX AEON 36/48""195/195/195 P-WHITE","0","0","0","1","0","1","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","26106000027'","MOTOR BOX FOR 48"" KIARA 302*302*210","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","30101000095'","MOTOR COMPLETE -  9"" HILL AIR","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","30101000096'","MOTOR COMPLETE - 12"" HILL AIR","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","30101000100'","MOTOR COMPLETE - 6"" VENTILATOR DX.","0","0","0","1","0","1","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","30101000863'","MOTOR FOR DESK-21 WHITE","0","0","0","4","0","4","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP2002H021'","MOTOR SPACER SLEEVE,CP2002H","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25184994707'","MOTOR.GBOX.CAP ASSLY-HYD-TORNADO STAND","0","0","2","0","2","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24204410000'","MOUNTING HOOK F WALL FAN - 41","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CD7001H057'","Main Cord - CD70 Common","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CD8501H016'","Main Motor 170W clockwise Rotation,C","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP2601H020'","Main Motor CP2601H","0","0","0","5","0","5","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP3001H001'","Main Motor,CP3001H","0","0","1","0","1","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP1601H002'","Motor CP1601H","0","0","0","13","0","13","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP3001H006'","Motor Spacer,CP3001H","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP4001H036'","Motor stand CP4001H/CP2005H","0","0","0","1","0","1","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP4001H037'","Motor without ring 100 dia CP4001H/CP200","0","0","0","3","0","3","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","SWAB06WGM2017'","Multifunction Valve, Aquabliss","0","0","0","0","0","0","8201043","Appliances",
