"BRAND","PART","DESCRIPTION","PRODUCT","MAPPED_MODEL","MODEL_DESCRIPTION","MAX_USED_QTY","SERVICE_LEVEL","PART_LOCATION","STATUS","LAST_UPDATED_DATE",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2134805811010","1200 MM SUMMER KING(IBF) WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2134805812010","1200 MM SUMMER KING(IBF) BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2134805812510","1200 MM SUMMER KING(IBF) P.IVORY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806711610","1200 MM QUASAR ELEGANT COPPER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806711810","EOL 1200 MM QUASAR MEGIC PURPLE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806714910","1200 MM QUASAR METALLIC IVORY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806715010","1200 MM QUASAR GOLD DUST","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806715710","1200 MM QUASAR PEWTER FINISH","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806715810","1200 MM QUASAR NATURAL PEARL","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806715910","1200 MM QUASAR SPARKLE BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806716110","1200 MM QUASAR BRUSHED COPPER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806716210","1200 MM QUASAR BRUSHED BRASS","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134806717110","1200 MM QUASAR STEEL GREY","1","  ","  ","Active","10/07/2022 23:43:08",
